target,repr,split,model,fold,n_test,r2,mae
mooney_viscosity,chem-min,random,ridge,1,256,0.19001555945866055,16.384121145955973
mooney_viscosity,chem-min,random,ridge,2,256,0.23650325007814077,15.2302115329158
mooney_viscosity,chem-min,random,ridge,3,255,0.07625793229566091,16.519302714814145
mooney_viscosity,chem-min,random,ridge,4,255,0.18918022160464787,15.769724750946452
mooney_viscosity,chem-min,random,rf,0,256,0.6654282200168908,8.743954522171434
mooney_viscosity,chem-min,random,rf,1,256,0.5582155843346219,9.506311414005838
mooney_viscosity,chem-min,random,rf,2,256,0.5730977484731419,9.39984543907541
mooney_viscosity,chem-min,random,rf,3,255,0.5990130681745945,9.176407109331912
mooney_viscosity,chem-min,random,rf,4,255,0.541564432543828,9.453828366744508
mooney_viscosity,chem-min,random,hgb,0,256,0.6842749959864171,8.359901989864554
mooney_viscosity,chem-min,random,hgb,1,256,0.5557402729152644,9.487705694066415
mooney_viscosity,chem-min,random,hgb,2,256,0.5275405952757789,9.487410041478222
mooney_viscosity,chem-min,random,hgb,3,255,0.5916357302097475,9.102736982625252
mooney_viscosity,chem-min,random,hgb,4,255,0.5237503309785377,9.271433628601446
mooney_viscosity,chem-min,patent,ridge,0,256,-0.18504994522078055,17.748538226922932
mooney_viscosity,chem-min,patent,ridge,1,256,-0.024518269243799296,19.703549464498145
mooney_viscosity,chem-min,patent,ridge,2,256,0.06870980083638745,18.669824964914543
mooney_viscosity,chem-min,patent,ridge,3,255,-0.008162552155726699,18.252010880162118
mooney_viscosity,chem-min,patent,ridge,4,255,-0.30569799035000944,18.788286652763993
mooney_viscosity,chem-min,patent,rf,0,256,-0.13714382119489033,16.580491386263567
mooney_viscosity,chem-min,patent,rf,1,256,-0.13351591798388474,19.977043144573848
mooney_viscosity,chem-min,patent,rf,2,256,-0.24480557576965256,21.868144807462166
mooney_viscosity,chem-min,patent,rf,3,255,-0.06874375122976129,19.248442775699374
mooney_viscosity,chem-min,patent,rf,4,255,-0.31425448078057694,18.509584341404388
mooney_viscosity,chem-min,patent,hgb,0,256,-0.5077589974947485,19.746717658087682
mooney_viscosity,chem-min,patent,hgb,1,256,-0.3141267356518591,21.59140384072488
mooney_viscosity,chem-min,patent,hgb,2,256,-0.30524204839641955,23.26232093039244
mooney_viscosity,chem-min,patent,hgb,3,255,-0.2786676853265575,20.577825735113475
mooney_viscosity,chem-min,patent,hgb,4,255,-0.7858174523562478,20.84548021843572
M300_MPa,plain,random,ridge,0,304,0.6853724974042824,1.8693312534287714
M300_MPa,plain,random,ridge,1,304,0.706971407202509,1.9586229395867385
M300_MPa,plain,random,ridge,2,303,0.7234589356112304,1.791748835141749
M300_MPa,plain,random,ridge,3,303,0.7570113690367496,1.6948527975756786
M300_MPa,plain,random,ridge,4,303,0.7181567919820578,1.6980698887551886
M300_MPa,plain,random,rf,0,304,0.8607527461126518,1.1319285738585532
M300_MPa,plain,random,rf,1,304,0.8755997997778165,1.1806207196431722
M300_MPa,plain,random,rf,2,303,0.8508118831018855,1.1100848161466588
M300_MPa,plain,random,rf,3,303,0.878797508769307,1.0609240938867885
M300_MPa,plain,random,rf,4,303,0.8821360362653254,1.0071622296705598
M300_MPa,plain,random,hgb,0,304,0.882114478338806,1.0907642178681682
M300_MPa,plain,random,hgb,1,304,0.8781492150663882,1.1219085165888796
M300_MPa,plain,random,hgb,2,303,0.8524618549323474,1.0978052847508382
M300_MPa,plain,random,hgb,3,303,0.8766491162917533,1.0900819701107645
M300_MPa,plain,random,hgb,4,303,0.8776465513189012,0.9945619381846734
M300_MPa,plain,patent,ridge,0,304,0.06948100261827417,3.4669538032484506
M300_MPa,plain,patent,ridge,1,304,0.3700024143404943,2.781495427190136
M300_MPa,plain,patent,ridge,2,303,0.22876539861192702,2.9661429944147684
M300_MPa,plain,patent,ridge,3,303,0.2797461781892442,3.0810536227882506
M300_MPa,plain,patent,ridge,4,303,0.1364077472032572,3.4820356089676223
M300_MPa,plain,patent,rf,0,304,0.4267343531408414,2.715634493490224
M300_MPa,plain,patent,rf,1,304,0.30195337563362135,3.063140110750092
M300_MPa,plain,patent,rf,2,303,0.5170153438165027,2.3945957862844387
M300_MPa,plain,patent,rf,3,303,0.40007810839541835,2.7124847741521934
M300_MPa,plain,patent,rf,4,303,0.31003254986980133,3.0807090842600595
M300_MPa,plain,patent,hgb,0,304,-0.0786568657061637,3.566896404412655
M300_MPa,plain,patent,hgb,1,304,0.2049012987646991,3.1969675561999367
M300_MPa,plain,patent,hgb,2,303,0.46133988351679645,2.4515316627303414
M300_MPa,plain,patent,hgb,3,303,0.21587820431970395,3.0596798227397395
M300_MPa,plain,patent,hgb,4,303,0.3580781362763704,2.81905970993994
M300_MPa,no_elast,random,ridge,0,304,0.5999682765931913,2.143962921612502
M300_MPa,no_elast,random,ridge,1,304,0.6729430164498008,2.087500405610746
M300_MPa,no_elast,random,ridge,2,303,0.6747815420574035,1.9716119221234947
M300_MPa,no_elast,random,ridge,3,303,0.6489889440556216,2.0264445529322703
M300_MPa,no_elast,random,ridge,4,303,0.6306781503514809,2.0704617698836643
M300_MPa,no_elast,random,rf,0,304,0.8373422303801312,1.2128919580440882
M300_MPa,no_elast,random,rf,1,304,0.8741464464986545,1.2114642967754057
