target,split,model,fold,n_train,n_test,r2,mae,time_s
elongation_at_break_percent,patent,rf,1,1242,311,0.4408746489448391,77.64040184496125,1.61
elongation_at_break_percent,patent,rf,2,1242,311,0.10731622620617143,82.67420714629549,2.35
elongation_at_break_percent,patent,rf,3,1243,310,0.12280951686201769,90.97683277223594,3.11
elongation_at_break_percent,patent,rf,4,1243,310,0.12196122796565745,72.06694193692672,3.86
elongation_at_break_percent,patent,hgb,0,1242,311,0.3718538718583587,74.8231340779012,1.11
elongation_at_break_percent,patent,hgb,1,1242,311,0.4216534901736054,80.65528858934984,2.23
elongation_at_break_percent,patent,hgb,2,1242,311,-0.12126532469427787,85.60318769456218,3.35
elongation_at_break_percent,patent,hgb,3,1243,310,-0.061849567012512985,98.0169286045047,4.52
elongation_at_break_percent,patent,hgb,4,1243,310,0.12247441807820947,73.57365525730023,5.74
hardness_shore_A,random,dummy,0,837,210,-0.002698053080088414,6.625178358081584,0.03
hardness_shore_A,random,dummy,1,837,210,-0.00014492205431104743,6.580923365762076,0.06
hardness_shore_A,random,dummy,2,838,209,-0.0006479853547591841,7.079034726107959,0.09
hardness_shore_A,random,dummy,3,838,209,-0.0011189153150181763,6.793757065695265,0.12
hardness_shore_A,random,dummy,4,838,209,-4.889374834560201e-06,6.862548103824325,0.15
hardness_shore_A,random,ridge,0,837,210,0.4067491185987666,4.33142648646142,0.04
hardness_shore_A,random,ridge,1,837,210,0.6874324220052693,3.859819456072401,0.07
hardness_shore_A,random,ridge,2,838,209,0.6525606168516276,4.227438188123063,0.11
hardness_shore_A,random,ridge,3,838,209,0.6782500085787082,4.200950489340741,0.14
hardness_shore_A,random,ridge,4,838,209,0.7183459058861352,3.701047891122994,0.18
hardness_shore_A,random,pls,0,837,210,0.35927139209310655,4.272737650391752,0.04
hardness_shore_A,random,pls,1,837,210,0.7080323711307983,3.7130194722190866,0.08
hardness_shore_A,random,pls,2,838,209,0.6334378274109226,4.308833607185566,0.12
hardness_shore_A,random,pls,3,838,209,0.660970497745333,4.280050902622284,0.16
hardness_shore_A,random,pls,4,838,209,0.7156273361535956,3.8523999951421186,0.2
hardness_shore_A,random,rf,0,837,210,0.8163569379774125,2.3021307116632252,0.53
hardness_shore_A,random,rf,1,837,210,0.8683596462831199,2.3188653473701555,1.11
hardness_shore_A,random,rf,2,838,209,0.7987405897682786,2.516108504037007,1.64
hardness_shore_A,random,rf,3,838,209,0.8565262543554952,2.4060049176153258,2.16
hardness_shore_A,random,rf,4,838,209,0.9094526726738367,2.097386834108595,2.7
hardness_shore_A,random,hgb,0,837,210,0.7724394468395814,2.3107950911546586,0.94
hardness_shore_A,random,hgb,1,837,210,0.8496207062895581,2.3632847501884506,1.89
hardness_shore_A,random,hgb,2,838,209,0.7852048518773678,2.6847436951316697,2.85
hardness_shore_A,random,hgb,3,838,209,0.8675947590863113,2.3465767830243895,3.99
hardness_shore_A,random,hgb,4,838,209,0.9262644752433393,1.9295566327160663,5.0
hardness_shore_A,patent,dummy,0,837,210,-0.49984431673718177,11.314822779769015,0.04
hardness_shore_A,patent,dummy,1,837,210,-0.0001962232810401865,4.817863685498095,0.07
hardness_shore_A,patent,dummy,2,838,209,-0.04265630024633338,4.913800801635246,0.11
hardness_shore_A,patent,dummy,3,838,209,-0.25314317218417015,7.497041257950692,0.14
hardness_shore_A,patent,dummy,4,838,209,-0.014533888689345131,6.564105697091503,0.18
hardness_shore_A,patent,ridge,0,837,210,-0.42791564456739617,9.202890074725515,0.04
hardness_shore_A,patent,ridge,1,837,210,-0.8888991235973589,7.626227271087044,0.08
hardness_shore_A,patent,ridge,2,838,209,-0.6200062237303068,6.013276827441508,0.13
hardness_shore_A,patent,ridge,3,838,209,0.57020721160592,5.296267558589882,0.17
hardness_shore_A,patent,ridge,4,838,209,-0.9605314859390384,8.989144955380386,0.21
hardness_shore_A,patent,pls,0,837,210,-0.9928683406195797,12.132808033779037,0.05
hardness_shore_A,patent,pls,1,837,210,-1.8380095063613369,9.48992055449391,0.09
hardness_shore_A,patent,pls,2,838,209,-2.2233964703774407,8.01041689138233,0.14
